fecha,mes,establecimiento,servicio,profesional,atenciones,meta,errores
2026-01-07,2026-01,C.S. Santa Clara,Psicología,Carlos Vega,9,58,0
2026-01-07,2026-01,C.S. Horacio Zevallos,Medicina,Lucía Gómez,24,58,0
2026-01-07,2026-01,C.S. Santa Clara,CRED,Ana Torres,42,59,3
2026-01-07,2026-01,C.S. Túpac Amaru,CRED,Lucía Gómez,22,37,3
2026-01-07,2026-01,C.S. Santa Clara,Inmunizaciones,Lucía Gómez,22,37,1
2026-01-07,2026-01,C.S. San Fernando,CRED,Lucía Gómez,9,26,3
2026-01-07,2026-01,C.S. Huaycán,Inmunizaciones,Luis Ramos,20,47,1
2026-01-07,2026-01,C.S. Puruchuco,Psicología,Luis Ramos,31,30,0
2026-01-08,2026-01,C.S. Santa Clara,Inmunizaciones,Ana Torres,29,38,1
2026-01-08,2026-01,C.S. Túpac Amaru,Nutrición,Juan Pérez,38,47,3
2026-01-08,2026-01,C.S. Horacio Zevallos,Medicina,Lucía Gómez,15,49,3
2026-01-08,2026-01,C.S. Horacio Zevallos,Odontología,Rosa Quispe,19,52,3
2026-01-09,2026-01,C.S. Huaycán,Medicina,Lucía Gómez,33,54,1
2026-01-09,2026-01,C.S. Horacio Zevallos,Medicina,Lucía Gómez,18,35,0
2026-01-09,2026-01,C.S. Fortaleza,Odontología,Carlos Vega,37,34,1
2026-01-09,2026-01,C.S. Puruchuco,Nutrición,Rosa Quispe,50,47,0
2026-01-09,2026-01,C.S. Túpac Amaru,Nutrición,Ana Torres,9,25,3
2026-01-09,2026-01,C.S. Horacio Zevallos,Psicología,Juan Pérez,41,33,1
2026-01-09,2026-01,C.S. Puruchuco,Odontología,Ana Torres,9,41,0
2026-01-09,2026-01,C.S. Huaycán,Nutrición,Ana Torres,45,45,0
2026-01-09,2026-01,C.S. Túpac Amaru,Inmunizaciones,Ana Torres,11,47,1
2026-01-10,2026-01,C.S. Túpac Amaru,Nutrición,Rosa Quispe,40,33,1
2026-01-10,2026-01,C.S. Santa Clara,Nutrición,Carlos Vega,9,53,3
2026-01-10,2026-01,C.S. Santa Clara,Nutrición,Juan Pérez,17,36,0
2026-01-10,2026-01,C.S. San Fernando,Nutrición,Lucía Gómez,15,60,0
2026-01-10,2026-01,C.S. Huaycán,Psicología,Carlos Vega,41,60,1
2026-01-10,2026-01,C.S. Puruchuco,Medicina,Carlos Vega,11,40,0
2026-01-10,2026-01,C.S. Huaycán,Medicina,Juan Pérez,40,53,1
2026-01-10,2026-01,C.S. Fortaleza,Medicina,Rosa Quispe,28,57,1
2026-01-10,2026-01,C.S. Túpac Amaru,Odontología,Lucía Gómez,25,53,1
2026-01-11,2026-01,C.S. Puruchuco,Inmunizaciones,Carlos Vega,23,58,0
2026-01-11,2026-01,C.S. Túpac Amaru,Odontología,Rosa Quispe,16,51,0
2026-01-11,2026-01,C.S. San Fernando,Inmunizaciones,Luis Ramos,12,40,1
2026-01-11,2026-01,C.S. Fortaleza,Odontología,Lucía Gómez,27,32,3
2026-01-11,2026-01,C.S. Santa Clara,Psicología,Lucía Gómez,50,48,0
2026-01-11,2026-01,C.S. Huaycán,Odontología,Rosa Quispe,22,31,1
2026-01-11,2026-01,C.S. San Fernando,Odontología,Lucía Gómez,22,35,2
2026-01-11,2026-01,C.S. San Fernando,Nutrición,Rosa Quispe,29,51,0
2026-01-12,2026-01,C.S. Huaycán,Medicina,Lucía Gómez,31,26,0
2026-01-12,2026-01,C.S. Túpac Amaru,Inmunizaciones,Rosa Quispe,53,26,1
2026-01-12,2026-01,C.S. Huaycán,Nutrición,Carlos Vega,26,57,0
2026-01-12,2026-01,C.S. Fortaleza,Odontología,Juan Pérez,13,41,0
2026-01-12,2026-01,C.S. Fortaleza,Odontología,Luis Ramos,16,52,3
2026-01-12,2026-01,C.S. Horacio Zevallos,CRED,Rosa Quispe,17,59,1
2026-01-13,2026-01,C.S. San Fernando,Psicología,Luis Ramos,13,42,0
2026-01-13,2026-01,C.S. Puruchuco,Psicología,Ana Torres,35,29,0
2026-01-13,2026-01,C.S. Fortaleza,Psicología,Juan Pérez,24,30,1
2026-01-13,2026-01,C.S. Puruchuco,Odontología,Juan Pérez,24,32,1
2026-01-13,2026-01,C.S. Fortaleza,CRED,Carlos Vega,34,42,1
2026-01-13,2026-01,C.S. Santa Clara,Medicina,Carlos Vega,53,40,0
2026-01-13,2026-01,C.S. Santa Clara,CRED,Juan Pérez,19,37,0
2026-01-13,2026-01,C.S. Horacio Zevallos,CRED,Carlos Vega,21,43,1
2026-01-14,2026-01,C.S. Horacio Zevallos,Odontología,Luis Ramos,30,26,0
2026-01-14,2026-01,C.S. Fortaleza,Medicina,Juan Pérez,54,57,1
2026-01-14,2026-01,C.S. Santa Clara,Nutrición,Rosa Quispe,23,53,0
2026-01-14,2026-01,C.S. Horacio Zevallos,Psicología,Rosa Quispe,50,56,1
2026-01-14,2026-01,C.S. Puruchuco,Inmunizaciones,Carlos Vega,27,38,0
2026-01-14,2026-01,C.S. Huaycán,Odontología,Lucía Gómez,54,33,1
2026-01-14,2026-01,C.S. Huaycán,Medicina,Ana Torres,8,29,2
2026-01-14,2026-01,C.S. Horacio Zevallos,CRED,Rosa Quispe,18,28,0
2026-01-15,2026-01,C.S. Puruchuco,Inmunizaciones,Carlos Vega,50,43,1
2026-01-15,2026-01,C.S. Santa Clara,Psicología,Luis Ramos,10,54,0
2026-01-15,2026-01,C.S. Santa Clara,CRED,Rosa Quispe,8,41,0
2026-01-15,2026-01,C.S. Huaycán,Nutrición,Luis Ramos,23,27,0
2026-01-15,2026-01,C.S. Santa Clara,CRED,Ana Torres,8,46,1
2026-01-15,2026-01,C.S. Fortaleza,Inmunizaciones,Luis Ramos,40,37,0
2026-01-15,2026-01,C.S. Túpac Amaru,Medicina,Juan Pérez,24,30,0
2026-01-15,2026-01,C.S. San Fernando,Nutrición,Juan Pérez,33,26,0
2026-01-15,2026-01,C.S. Huaycán,Psicología,Ana Torres,13,58,3
2026-01-16,2026-01,C.S. Horacio Zevallos,Psicología,Carlos Vega,32,45,2
2026-01-16,2026-01,C.S. San Fernando,Odontología,Luis Ramos,54,34,0
2026-01-16,2026-01,C.S. Puruchuco,Psicología,Carlos Vega,48,52,2
2026-01-16,2026-01,C.S. Horacio Zevallos,Nutrición,Ana Torres,41,57,1
2026-01-16,2026-01,C.S. Puruchuco,Medicina,Lucía Gómez,45,39,0
2026-01-17,2026-01,C.S. Fortaleza,Odontología,Lucía Gómez,31,31,1
2026-01-17,2026-01,C.S. Puruchuco,Inmunizaciones,Carlos Vega,11,26,2
2026-01-17,2026-01,C.S. Túpac Amaru,Psicología,Ana Torres,39,41,0
2026-01-17,2026-01,C.S. San Fernando,Medicina,Lucía Gómez,40,59,0
2026-01-18,2026-01,C.S. Túpac Amaru,Medicina,Lucía Gómez,55,55,0
2026-01-18,2026-01,C.S. Puruchuco,Medicina,Luis Ramos,23,38,0
2026-01-18,2026-01,C.S. Horacio Zevallos,Psicología,Rosa Quispe,39,49,0
2026-01-18,2026-01,C.S. San Fernando,Psicología,Luis Ramos,10,37,0
2026-01-18,2026-01,C.S. Túpac Amaru,Odontología,Luis Ramos,24,44,1
2026-01-18,2026-01,C.S. Túpac Amaru,Odontología,Juan Pérez,38,28,1
2026-01-18,2026-01,C.S. Huaycán,Psicología,Juan Pérez,52,38,2
2026-01-18,2026-01,C.S. San Fernando,CRED,Lucía Gómez,41,43,1
2026-01-18,2026-01,C.S. San Fernando,Inmunizaciones,Juan Pérez,43,37,0
2026-01-19,2026-01,C.S. San Fernando,Medicina,Luis Ramos,37,29,3
2026-01-19,2026-01,C.S. Túpac Amaru,Inmunizaciones,Luis Ramos,32,38,0
2026-01-19,2026-01,C.S. Fortaleza,Nutrición,Juan Pérez,17,58,0
2026-01-19,2026-01,C.S. Huaycán,Odontología,Carlos Vega,48,57,0
2026-01-20,2026-01,C.S. Horacio Zevallos,CRED,Ana Torres,39,56,1
2026-01-20,2026-01,C.S. Fortaleza,Odontología,Juan Pérez,39,53,1
2026-01-20,2026-01,C.S. Huaycán,Psicología,Ana Torres,34,47,1
2026-01-20,2026-01,C.S. Huaycán,Medicina,Luis Ramos,8,45,3
2026-01-21,2026-01,C.S. Puruchuco,Inmunizaciones,Juan Pérez,20,25,2
2026-01-21,2026-01,C.S. Huaycán,CRED,Luis Ramos,12,50,1
2026-01-21,2026-01,C.S. Puruchuco,Nutrición,Juan Pérez,31,52,3
2026-01-21,2026-01,C.S. Huaycán,Medicina,Luis Ramos,14,28,3
2026-01-21,2026-01,C.S. Horacio Zevallos,CRED,Lucía Gómez,17,40,0
2026-01-21,2026-01,C.S. San Fernando,Nutrición,Luis Ramos,20,48,3
2026-01-22,2026-01,C.S. Fortaleza,Psicología,Rosa Quispe,43,60,0
2026-01-22,2026-01,C.S. Horacio Zevallos,Medicina,Juan Pérez,54,51,1
2026-01-22,2026-01,C.S. Túpac Amaru,Odontología,Lucía Gómez,26,56,0
2026-01-22,2026-01,C.S. Túpac Amaru,Odontología,Ana Torres,38,51,0
2026-01-22,2026-01,C.S. Huaycán,CRED,Luis Ramos,55,41,1
2026-01-22,2026-01,C.S. Horacio Zevallos,Odontología,Luis Ramos,38,60,2
2026-01-22,2026-01,C.S. San Fernando,Medicina,Ana Torres,49,35,0
2026-01-23,2026-01,C.S. Túpac Amaru,Inmunizaciones,Carlos Vega,22,53,0
2026-01-23,2026-01,C.S. Puruchuco,Inmunizaciones,Rosa Quispe,16,60,0
2026-01-23,2026-01,C.S. Santa Clara,Medicina,Ana Torres,29,60,0
2026-01-23,2026-01,C.S. Huaycán,Odontología,Luis Ramos,24,37,0
2026-01-23,2026-01,C.S. Horacio Zevallos,Inmunizaciones,Rosa Quispe,34,58,0
2026-01-24,2026-01,C.S. Huaycán,CRED,Juan Pérez,39,42,1
2026-01-24,2026-01,C.S. Huaycán,Odontología,Lucía Gómez,40,58,2
2026-01-24,2026-01,C.S. Puruchuco,Odontología,Juan Pérez,25,40,1
2026-01-24,2026-01,C.S. San Fernando,Psicología,Rosa Quispe,35,44,3
2026-01-24,2026-01,C.S. Puruchuco,Medicina,Ana Torres,10,52,2
2026-01-24,2026-01,C.S. Puruchuco,Inmunizaciones,Carlos Vega,39,25,0
2026-01-24,2026-01,C.S. San Fernando,Nutrición,Rosa Quispe,36,40,3
2026-01-25,2026-01,C.S. Santa Clara,Odontología,Ana Torres,41,31,3
2026-01-25,2026-01,C.S. Horacio Zevallos,Psicología,Lucía Gómez,37,30,1
2026-01-25,2026-01,C.S. Puruchuco,Medicina,Juan Pérez,16,39,1
2026-01-25,2026-01,C.S. Fortaleza,Psicología,Lucía Gómez,27,33,2
2026-01-26,2026-01,C.S. Túpac Amaru,Psicología,Rosa Quispe,52,32,0
2026-01-26,2026-01,C.S. Fortaleza,CRED,Carlos Vega,45,37,1
2026-01-26,2026-01,C.S. Huaycán,Odontología,Carlos Vega,8,25,1
2026-01-26,2026-01,C.S. Huaycán,Inmunizaciones,Luis Ramos,28,40,1
2026-01-26,2026-01,C.S. Túpac Amaru,Odontología,Carlos Vega,23,26,1
2026-01-26,2026-01,C.S. Horacio Zevallos,Psicología,Luis Ramos,11,26,0
2026-01-27,2026-01,C.S. Horacio Zevallos,Psicología,Rosa Quispe,13,41,0
2026-01-27,2026-01,C.S. Horacio Zevallos,Inmunizaciones,Luis Ramos,22,56,0
2026-01-27,2026-01,C.S. Horacio Zevallos,CRED,Lucía Gómez,34,48,2
2026-01-27,2026-01,C.S. San Fernando,Odontología,Juan Pérez,26,57,0
2026-01-27,2026-01,C.S. Santa Clara,Inmunizaciones,Ana Torres,27,37,0
2026-01-27,2026-01,C.S. San Fernando,Odontología,Luis Ramos,26,31,1
2026-01-27,2026-01,C.S. San Fernando,Nutrición,Ana Torres,22,56,1
2026-01-28,2026-01,C.S. Fortaleza,Nutrición,Ana Torres,33,28,0
2026-01-28,2026-01,C.S. Fortaleza,Nutrición,Ana Torres,34,28,2
2026-01-28,2026-01,C.S. Fortaleza,Odontología,Rosa Quispe,36,45,2
2026-01-28,2026-01,C.S. Fortaleza,Medicina,Ana Torres,29,37,0
2026-01-28,2026-01,C.S. Horacio Zevallos,Nutrición,Lucía Gómez,37,27,0
2026-01-28,2026-01,C.S. Horacio Zevallos,Psicología,Rosa Quispe,31,46,1
2026-01-28,2026-01,C.S. Santa Clara,Medicina,Juan Pérez,13,42,0
2026-01-28,2026-01,C.S. Huaycán,Inmunizaciones,Juan Pérez,43,38,1
2026-01-28,2026-01,C.S. Huaycán,CRED,Rosa Quispe,13,28,2
2026-01-29,2026-01,C.S. Santa Clara,CRED,Carlos Vega,36,37,0
2026-01-29,2026-01,C.S. Huaycán,Psicología,Rosa Quispe,9,51,0
2026-01-29,2026-01,C.S. Puruchuco,Psicología,Rosa Quispe,10,49,0
2026-01-29,2026-01,C.S. San Fernando,Medicina,Juan Pérez,24,37,2
2026-01-29,2026-01,C.S. Fortaleza,Nutrición,Luis Ramos,31,42,0
2026-01-29,2026-01,C.S. Túpac Amaru,Medicina,Luis Ramos,55,45,0
2026-01-29,2026-01,C.S. Huaycán,Medicina,Lucía Gómez,46,29,0
2026-01-30,2026-01,C.S. Fortaleza,Inmunizaciones,Lucía Gómez,37,49,3
2026-01-30,2026-01,C.S. Huaycán,Inmunizaciones,Rosa Quispe,16,56,0
2026-01-30,2026-01,C.S. Fortaleza,Psicología,Luis Ramos,52,34,1
2026-01-30,2026-01,C.S. Santa Clara,CRED,Luis Ramos,37,48,3
2026-01-30,2026-01,C.S. Puruchuco,Nutrición,Juan Pérez,40,37,1
2026-01-31,2026-01,C.S. Santa Clara,Inmunizaciones,Juan Pérez,49,27,1
2026-01-31,2026-01,C.S. Túpac Amaru,Nutrición,Luis Ramos,18,52,0
2026-01-31,2026-01,C.S. Fortaleza,CRED,Carlos Vega,13,38,0
2026-01-31,2026-01,C.S. San Fernando,Inmunizaciones,Lucía Gómez,36,36,0
2026-01-31,2026-01,C.S. Santa Clara,Inmunizaciones,Rosa Quispe,47,40,2
2026-02-01,2026-02,C.S. Puruchuco,Psicología,Juan Pérez,26,43,0
2026-02-01,2026-02,C.S. Túpac Amaru,CRED,Luis Ramos,24,41,0
2026-02-01,2026-02,C.S. San Fernando,Odontología,Ana Torres,23,40,0
2026-02-01,2026-02,C.S. Huaycán,Nutrición,Ana Torres,28,29,1
2026-02-01,2026-02,C.S. Huaycán,Odontología,Carlos Vega,41,39,2
2026-02-01,2026-02,C.S. Puruchuco,Medicina,Lucía Gómez,37,27,0
2026-02-01,2026-02,C.S. Fortaleza,Inmunizaciones,Ana Torres,36,48,0
2026-02-01,2026-02,C.S. Huaycán,Odontología,Juan Pérez,11,37,1
2026-02-02,2026-02,C.S. Santa Clara,Medicina,Luis Ramos,40,36,1
2026-02-02,2026-02,C.S. Túpac Amaru,CRED,Lucía Gómez,8,31,2
2026-02-02,2026-02,C.S. Túpac Amaru,Psicología,Carlos Vega,30,38,0
2026-02-02,2026-02,C.S. Huaycán,CRED,Ana Torres,10,38,0
2026-02-02,2026-02,C.S. Fortaleza,Nutrición,Lucía Gómez,49,38,3
2026-02-02,2026-02,C.S. Fortaleza,CRED,Rosa Quispe,51,48,0
2026-02-02,2026-02,C.S. Túpac Amaru,CRED,Juan Pérez,21,27,3
2026-02-02,2026-02,C.S. San Fernando,Nutrición,Rosa Quispe,12,51,0
2026-02-03,2026-02,C.S. Horacio Zevallos,Nutrición,Ana Torres,48,59,0
2026-02-03,2026-02,C.S. Horacio Zevallos,Odontología,Rosa Quispe,52,42,1
2026-02-03,2026-02,C.S. Huaycán,Psicología,Luis Ramos,34,28,0
2026-02-03,2026-02,C.S. Horacio Zevallos,Nutrición,Luis Ramos,34,51,0
2026-02-03,2026-02,C.S. Puruchuco,CRED,Lucía Gómez,20,50,2
2026-02-03,2026-02,C.S. San Fernando,Odontología,Juan Pérez,35,35,1
2026-02-03,2026-02,C.S. Fortaleza,Medicina,Rosa Quispe,44,48,1
2026-02-04,2026-02,C.S. Santa Clara,Medicina,Juan Pérez,43,34,2
2026-02-04,2026-02,C.S. Puruchuco,Inmunizaciones,Juan Pérez,44,48,2
2026-02-04,2026-02,C.S. Túpac Amaru,Odontología,Ana Torres,30,43,0
2026-02-04,2026-02,C.S. Túpac Amaru,Odontología,Juan Pérez,14,49,1
2026-02-04,2026-02,C.S. Puruchuco,Odontología,Luis Ramos,16,27,1
2026-02-05,2026-02,C.S. Fortaleza,Nutrición,Lucía Gómez,32,30,2
2026-02-05,2026-02,C.S. Túpac Amaru,Psicología,Ana Torres,48,39,1
2026-02-05,2026-02,C.S. San Fernando,Nutrición,Ana Torres,38,36,1
2026-02-05,2026-02,C.S. Santa Clara,Medicina,Rosa Quispe,41,35,1
2026-02-05,2026-02,C.S. Huaycán,Medicina,Ana Torres,23,37,0
2026-02-05,2026-02,C.S. Túpac Amaru,Psicología,Juan Pérez,50,45,0
2026-02-06,2026-02,C.S. Túpac Amaru,Inmunizaciones,Carlos Vega,48,44,2
2026-02-06,2026-02,C.S. San Fernando,CRED,Carlos Vega,23,52,1
2026-02-06,2026-02,C.S. Horacio Zevallos,CRED,Rosa Quispe,40,53,0
2026-02-06,2026-02,C.S. Fortaleza,Medicina,Carlos Vega,39,54,0
2026-02-06,2026-02,C.S. San Fernando,Nutrición,Rosa Quispe,19,55,1
2026-02-06,2026-02,C.S. Fortaleza,Medicina,Ana Torres,30,52,0
2026-02-06,2026-02,C.S. Fortaleza,Inmunizaciones,Carlos Vega,40,27,0
2026-02-07,2026-02,C.S. Santa Clara,Medicina,Lucía Gómez,28,57,0
2026-02-07,2026-02,C.S. Fortaleza,Nutrición,Rosa Quispe,49,33,0
2026-02-07,2026-02,C.S. Puruchuco,Medicina,Carlos Vega,54,32,0
2026-02-07,2026-02,C.S. Santa Clara,Inmunizaciones,Luis Ramos,18,39,0
2026-02-07,2026-02,C.S. Puruchuco,CRED,Carlos Vega,24,35,0
2026-02-07,2026-02,C.S. Túpac Amaru,CRED,Rosa Quispe,17,41,1
2026-02-07,2026-02,C.S. San Fernando,Odontología,Carlos Vega,24,57,0
2026-02-07,2026-02,C.S. Huaycán,CRED,Juan Pérez,20,36,1
2026-02-07,2026-02,C.S. Santa Clara,Psicología,Luis Ramos,51,45,1
2026-02-08,2026-02,C.S. Puruchuco,CRED,Juan Pérez,41,28,2
2026-02-08,2026-02,C.S. Puruchuco,CRED,Rosa Quispe,43,58,1
2026-02-08,2026-02,C.S. Horacio Zevallos,Medicina,Luis Ramos,42,50,2
2026-02-08,2026-02,C.S. Puruchuco,CRED,Luis Ramos,32,48,1
2026-02-08,2026-02,C.S. Santa Clara,CRED,Luis Ramos,13,53,0
2026-02-09,2026-02,C.S. Túpac Amaru,Psicología,Juan Pérez,26,58,0
2026-02-09,2026-02,C.S. Huaycán,Psicología,Carlos Vega,50,45,2
2026-02-09,2026-02,C.S. Fortaleza,Psicología,Juan Pérez,22,34,0
2026-02-09,2026-02,C.S. Túpac Amaru,Psicología,Rosa Quispe,34,57,0
2026-02-09,2026-02,C.S. Fortaleza,Odontología,Rosa Quispe,22,27,0
2026-02-10,2026-02,C.S. Fortaleza,Nutrición,Luis Ramos,27,31,1
2026-02-10,2026-02,C.S. Huaycán,Nutrición,Ana Torres,34,44,1
2026-02-10,2026-02,C.S. Santa Clara,Odontología,Luis Ramos,47,55,0
2026-02-10,2026-02,C.S. Santa Clara,Medicina,Ana Torres,53,34,1
2026-02-11,2026-02,C.S. Fortaleza,Psicología,Ana Torres,50,42,1
2026-02-11,2026-02,C.S. Puruchuco,CRED,Juan Pérez,11,60,0
2026-02-11,2026-02,C.S. Túpac Amaru,Psicología,Carlos Vega,36,58,2
2026-02-11,2026-02,C.S. San Fernando,Odontología,Ana Torres,8,27,0
2026-02-12,2026-02,C.S. Fortaleza,Inmunizaciones,Ana Torres,23,35,0
2026-02-12,2026-02,C.S. Puruchuco,Medicina,Juan Pérez,47,60,2
2026-02-12,2026-02,C.S. Santa Clara,Odontología,Rosa Quispe,20,58,1
2026-02-12,2026-02,C.S. Horacio Zevallos,Nutrición,Lucía Gómez,49,51,3
2026-02-12,2026-02,C.S. Túpac Amaru,Odontología,Carlos Vega,27,29,0
2026-02-12,2026-02,C.S. Horacio Zevallos,Medicina,Lucía Gómez,38,59,0
2026-02-12,2026-02,C.S. San Fernando,Inmunizaciones,Lucía Gómez,37,30,2
2026-02-12,2026-02,C.S. Horacio Zevallos,Inmunizaciones,Ana Torres,22,31,0
2026-02-13,2026-02,C.S. Horacio Zevallos,Medicina,Juan Pérez,29,41,2
2026-02-13,2026-02,C.S. Fortaleza,CRED,Lucía Gómez,43,52,2
2026-02-13,2026-02,C.S. Puruchuco,Nutrición,Luis Ramos,26,38,0
2026-02-13,2026-02,C.S. Túpac Amaru,Medicina,Ana Torres,24,40,3
2026-02-13,2026-02,C.S. Horacio Zevallos,Odontología,Ana Torres,55,45,0
2026-02-14,2026-02,C.S. Huaycán,Nutrición,Ana Torres,32,59,1
2026-02-14,2026-02,C.S. San Fernando,Nutrición,Lucía Gómez,8,26,1
2026-02-14,2026-02,C.S. Horacio Zevallos,Odontología,Carlos Vega,27,38,1
2026-02-14,2026-02,C.S. Túpac Amaru,Nutrición,Juan Pérez,44,35,0
2026-02-14,2026-02,C.S. Fortaleza,Medicina,Juan Pérez,14,35,0
2026-02-14,2026-02,C.S. Santa Clara,Psicología,Juan Pérez,9,27,0
2026-02-14,2026-02,C.S. Horacio Zevallos,Psicología,Lucía Gómez,10,29,2
2026-02-15,2026-02,C.S. Fortaleza,Nutrición,Luis Ramos,20,59,2
2026-02-15,2026-02,C.S. Fortaleza,Psicología,Rosa Quispe,14,40,0
2026-02-15,2026-02,C.S. Santa Clara,Medicina,Juan Pérez,10,30,3
2026-02-15,2026-02,C.S. Puruchuco,Psicología,Lucía Gómez,26,55,0
2026-02-16,2026-02,C.S. Fortaleza,Psicología,Ana Torres,26,45,0
2026-02-16,2026-02,C.S. San Fernando,CRED,Juan Pérez,30,41,0
2026-02-16,2026-02,C.S. Fortaleza,Psicología,Luis Ramos,28,57,1
2026-02-16,2026-02,C.S. Puruchuco,CRED,Carlos Vega,55,26,3
2026-02-16,2026-02,C.S. San Fernando,Medicina,Rosa Quispe,41,31,0
2026-02-17,2026-02,C.S. Horacio Zevallos,Medicina,Carlos Vega,44,38,2
2026-02-17,2026-02,C.S. Puruchuco,Medicina,Carlos Vega,26,35,1
2026-02-17,2026-02,C.S. Fortaleza,Nutrición,Ana Torres,26,28,0
2026-02-17,2026-02,C.S. Huaycán,Inmunizaciones,Juan Pérez,39,36,1
2026-02-17,2026-02,C.S. Túpac Amaru,CRED,Carlos Vega,24,35,0
2026-02-17,2026-02,C.S. Puruchuco,Odontología,Lucía Gómez,22,56,0
2026-02-17,2026-02,C.S. Fortaleza,Psicología,Juan Pérez,39,60,3
2026-02-18,2026-02,C.S. Horacio Zevallos,CRED,Luis Ramos,14,50,1
2026-02-18,2026-02,C.S. Horacio Zevallos,Medicina,Rosa Quispe,49,26,0
2026-02-18,2026-02,C.S. Santa Clara,CRED,Luis Ramos,35,59,1
2026-02-18,2026-02,C.S. Santa Clara,Inmunizaciones,Lucía Gómez,22,54,0
2026-02-19,2026-02,C.S. Túpac Amaru,Psicología,Carlos Vega,49,27,0
2026-02-19,2026-02,C.S. Túpac Amaru,CRED,Carlos Vega,17,53,2
2026-02-19,2026-02,C.S. Túpac Amaru,Psicología,Luis Ramos,18,54,1
2026-02-19,2026-02,C.S. Horacio Zevallos,CRED,Carlos Vega,22,33,0
2026-02-19,2026-02,C.S. San Fernando,Psicología,Lucía Gómez,23,57,0
2026-02-19,2026-02,C.S. Huaycán,CRED,Lucía Gómez,47,34,2
2026-02-19,2026-02,C.S. Santa Clara,Odontología,Lucía Gómez,28,58,0
2026-02-19,2026-02,C.S. Santa Clara,Odontología,Luis Ramos,20,41,2
2026-02-20,2026-02,C.S. Santa Clara,Psicología,Juan Pérez,20,49,0
2026-02-20,2026-02,C.S. Santa Clara,CRED,Lucía Gómez,27,52,0
2026-02-20,2026-02,C.S. Santa Clara,Medicina,Lucía Gómez,14,42,0
